gene.x,gene.y,weight.AF_confidence
XPNPEP3,YTHDC2,0.268
XPNPEP3,YWHAH,0.286
XPO7,ZW10,0.27
YME1L1,ZC3H7A,0.228
ZKSCAN8,ZNF644,0.204
ACTN4,PPP1R9B,0.2354
CAP1,SMARCC2,0.2168
ADD3,CORO1A,0.242
ADNP,ZKSCAN8,0.198
ADSL,HDLBP,0.232
AP1B1,TBR1,0.238
AP2S1,COMTD1,0.27
BCL11A,GATAD2A,0.198
BCL11A,GATAD2B,0.196
BTRC,TBR1,0.238
CIP2A,LDB1,0.248
CKAP4,PTK7,0.222
CORO1A,MYO1B,0.246
CORO1A,TWF1,0.264
CTNNB1,CTSA,0.252
CTNNB1,RUVBL1,0.252
CTSA,RORB,0.262
DYRK1A,MOV10,0.256
FH,HDLBP,0.228
GNAI1,NUCB2,0.25
HM13,SPAST,0.23
HSD17B4,TBR1,0.22
ITCH,SPAST,0.222
KCNMA1,RABL3,0.264
KCNMA1,TIMM21,0.26
LAP3,PPP1R9B,0.244
MARS1,SPAST,0.248
MED17,MYT1L,0.222
MYT1L,SAMD1,0.196
NUP107,SPAST,0.256
PAX5,XPC,0.236
PLOD3,STXBP1,0.268
RBM15,WAC,0.204
RORB,VRK3,0.242
XPNPEP3,ZMYND8,0.23
AAAS,CLPB,0.236
AAGAB,ESYT2,0.228
AAGAB,TRABD,0.234
AAGAB,YME1L1,0.238
AARS1,IWS1,0.232
AARS1,KPNA1,0.242
AARS1,KPNA2,0.24
AARS1,MED17,0.244
AARS1,NAA10,0.262
AARS1,SAE1,0.254
AARS1,SENP3,0.242
AARS1,TBR1,0.238
ABI1,SMC1A,0.22
ABLIM1,ANXA6,0.228
ABLIM1,CORO1B,0.236
ABLIM1,PRKAR2A,0.21
ABLIM1,RACGAP1,0.212
ACAA1,COQ10B,0.282
ACAA1,COQ8B,0.252
ACAA1,FARS2,0.258
ACAA1,LONP1,0.23
ACAA1,MRPL17,0.29
ACAA1,MRPS2,0.268
ACAA1,NME6,0.288
ACAA1,PDSS2,0.264
ACAD11,AP2S1,0.254
ACAD11,ATF7,0.236
ACAD11,CASK,0.228
ACAD11,CTNNA1,0.232
ACAD11,EIF3G,0.244
ACAD11,FAM91A1,0.248
ACAD11,GATAD2B,0.232
ACAD11,GRAMD4,0.234
ACAD11,HIRA,0.226
ACAD11,MAP3K20,0.228
ACAD11,MED15,0.228
ACAD11,TRIM47,0.232
ACAD11,XPNPEP3,0.242
ACADM,CAND1,0.268
ACADSB,AFG3L2,0.234
ACADSB,CLCC1,0.244
ACADSB,COQ8A,0.242
ACADSB,LONP1,0.23
ACADSB,MRPS23,0.284
ACADSB,PISD,0.26
ACADSB,SLC39A6,0.236
ACADSB,STIM1,0.238
ACADSB,TRMT61B,0.25
ACOT9,COLGALT1,0.266
ACOT9,IDH3G,0.256
ACOT9,SIL1,0.248
ACOT9,STMN1,0.288
ACOT9,VAMP3,0.298
ACTL6A,OCIAD1,0.278
ACTN1,DBN1,0.224
ACTN1,LACTB,0.23
ACTN1,MYO1B,0.236
ACTN1,MYO1D,0.238
ACTN1,NOL10,0.218
ACTN1,SPECC1,0.23
ACTN1,SPECC1L,0.228
ACTN1,SUPT16H,0.224
ACTN4,ANXA1,0.248
ACTN4,ANXA6,0.23
ACTN4,CFAP97,0.222
ACTN4,GABARAPL2,0.234
ACTN4,LACTB,0.23
ACTN4,MAP7D3,0.234
ACTN4,MYO1B,0.236
ACTN4,MYO1D,0.238
ACTN4,WDR1,0.246
ADD3,CGN,0.21
ADD3,CORO1B,0.238
ADD3,CORO1C,0.238
ADD3,PPP1R9B,0.214
ADD3,SPECC1L,0.212
ADGRL2,MRPL55,0.226
ADGRL2,MRPS23,0.226
ADSL,MCM10,0.24
ADSL,UPF1,0.248
ADSL,YTHDC2,0.26
AFG3L2,ALDH18A1,0.226
AFG3L2,AP2A1,0.234
AFG3L2,AP2A2,0.234
AFG3L2,EPS15L1,0.226
AFG3L2,NARS2,0.24
AFG3L2,PPIC,0.244
AFG3L2,PRDX4,0.242
AFG3L2,ZC3H7A,0.222
AGO2,KPNA3,0.272
AGPS,COQ10B,0.286
AGPS,SLC39A6,0.252
AHCYL1,CALU,0.24
AHCYL1,NCKAP1,0.284
AKAP8,CLTB,0.21
AKR1B10,DBN1,0.234
AKR1B10,LRCH2,0.23
AKR1B10,PPP1R12A,0.222
AKR1B10,SPECC1,0.22
AKR1B10,SPECC1L,0.22
ALDH18A1,CLCC1,0.236
ALDH18A1,COQ10B,0.252
ALDH18A1,COQ8B,0.234
ALDH18A1,LONP1,0.224
ALDH18A1,MICU1,0.236
ALDH18A1,SLC39A10,0.226
ALDH18A1,SLC39A6,0.228
ALDH18A1,VAMP3,0.264
ALDH18A1,WARS2,0.24
ALDH18A1,YME1L1,0.224
ALDH3A2,CAND1,0.262
ALDH6A1,EIF4ENIF1,0.238
ALDH6A1,METAP1D,0.272
ALDH6A1,OPA1,0.238
ALDH6A1,PARL,0.27
ALDH6A1,ZYX,0.254
AMER1,CDH2,0.216
AMER1,LEF1,0.196
ANAPC7,CIP2A,0.24
ANKRD13B,NUCB1,0.242
ANKRD13B,REEP5,0.256
ANP32B,CTNNA1,0.256
ANP32B,DBN1,0.21
ANP32B,EXOSC2,0.242
ANP32B,HSD17B4,0.232
ANP32B,IQGAP1,0.228
ANP32B,ITPRID2,0.204
ANP32B,SRPRA,0.24
ANP32E,BMS1,0.244
ANP32E,EXOSC2,0.242
ANP32E,IWS1,0.208
ANP32E,UBAP2L,0.204
ANXA1,CLTC,0.218
ANXA1,EPB41L2,0.224
ANXA1,FMNL2,0.222
ANXA1,MAPRE1,0.27
ANXA1,MYO6,0.268
ANXA1,PLEKHG3,0.218
ANXA6,HSD17B4,0.23
ANXA6,IDE,0.272
ANXA6,MYO1B,0.24
ANXA6,MYO1C,0.24
ANXA6,P4HB,0.232
ANXA6,SND1,0.228
ANXA6,TPM1,0.266
AP1B1,DCAF11,0.24
AP1B1,GTSE1,0.238
AP1B1,HSD17B4,0.238
AP1B1,JPH1,0.238
AP1B1,MOGS,0.256
AP1B1,NME3,0.258
AP1B1,ODF2,0.236
AP1B1,P3H1,0.236
AP1B1,QRICH1,0.236
AP1B1,SLC25A19,0.25
AP1B1,TRIM27,0.242
AP1G1,IRF2BPL,0.238
AP1G1,LONP1,0.23
AP1M1,IDE,0.29
AP1M1,LONP1,0.232
AP2A1,BAP1,0.238
AP2A1,CLPB,0.234
AP2A1,CLTB,0.254
AP2A1,EIF3G,0.252
AP2A1,ESYT2,0.232
AP2A1,FBXW11,0.238
AP2A1,FHL3,0.252
AP2A1,GTSE1,0.236
AP2A1,HSD17B4,0.234
AP2A1,JPH1,0.236
AP2A1,MCAT,0.246
AP2A1,MOGS,0.256
AP2A1,MTMR1,0.24
AP2A1,OCLN,0.242
AP2A1,PIGT,0.236
AP2A1,PLOD1,0.25
AP2A1,QRICH1,0.236
AP2A1,TMED1,0.254
AP2A1,TRIM27,0.242
AP2A1,YME1L1,0.234
AP2A2,ASPH,0.232
AP2A2,BAP1,0.238
AP2A2,CLTA,0.254
AP2A2,CLTB,0.254
AP2A2,COP1,0.238
AP2A2,ESYT2,0.232
AP2A2,FHL3,0.254
AP2A2,IRF2BP1,0.242
AP2A2,JPH1,0.238
AP2A2,KEAP1,0.236
AP2A2,MOGS,0.256
AP2A2,NUP43,0.248
AP2A2,RDH13,0.25
AP2A2,TMED1,0.256
AP2A2,YME1L1,0.234
AP2B1,COP1,0.238
AP2B1,DCAF11,0.242
AP2B1,HSD17B4,0.238
AP2B1,JPH1,0.24
AP2B1,NXN,0.244
AP2B1,P3H1,0.236
AP2B1,SNX9,0.242
AP2B1,TRIM27,0.242
AP2M1,CASK,0.232
AP2M1,EPS15L1,0.218
AP2M1,ESYT2,0.226
AP2M1,IDE,0.288
AP2M1,P3H3,0.24
AP2M1,SCAI,0.266
AP2M1,TARS2,0.26
AP2M1,TRABD,0.238
AP2M1,TRAF3,0.222
AP2S1,ERCC3,0.28
AP2S1,POMGNT2,0.292
AP2S1,STK3,0.252
AP3D1,CSNK2A2,0.242
AP3D1,MAPRE1,0.248
AP3D1,MED17,0.232
ARHGEF1,TARS2,0.24
ARHGEF1,TIMM44,0.226
ARHGEF1,YME1L1,0.22
ARIH1,HIRA,0.224
ARL6IP5,SRPRA,0.242
ARMH3,GNG4,0.306
ASPH,HSD17B4,0.228
ASPH,TCAF1,0.268
ATAD3B,CCDC8,0.218
ATAD3B,DCAF7,0.234
ATAD3B,FLII,0.23
ATAD3B,NDE1,0.224
ATAD3B,NOL10,0.224
ATAD3B,SPECC1,0.212
ATAD3B,SUPT16H,0.226
ATE1,CIP2A,0.242
ATE1,SELENOF,0.274
ATE1,SLC39A11,0.256
ATF7,LIG3,0.24
ATF7,MED17,0.238
ATIC,BMS1,0.234
ATIC,CACNA2D1,0.272
ATIC,CTR9,0.236
ATIC,DBN1,0.258
ATIC,DLG1,0.248
ATIC,MEAK7,0.272
ATIC,MYO1B,0.24
ATIC,MYO6,0.256
ATIC,NFKBIL1,0.278
ATIC,PALM2AKAP2,0.278
ATIC,PPP1R9A,0.24
ATIC,RRP9,0.272
ATIC,SMC1A,0.238
ATIC,SPATA5,0.248
ATIC,SPECC1,0.24
ATIC,SUPT16H,0.244
ATP6V1H,DNAAF5,0.274
ATXN2,ECI2,0.21
ATXN2,IMMT,0.202
ATXN2,MRPL45,0.204
ATXN2,TIMM44,0.204
AXIN1,RUVBL1,0.224
B3GALT6,FHL3,0.256
B3GALT6,RNF40,0.218
B3GALT6,RNGTT,0.238
BAG5,ERCC3,0.258
BAG5,GPS2,0.258
BAG5,HDAC1,0.248
BAG5,IDE,0.286
BAG5,IRF2BP1,0.236
BAG5,LIG3,0.232
BAIAP2,RBM15,0.21
BAX,XPO5,0.3
BCKDK,CLPB,0.232
BCKDK,FOXP1,0.232
BCKDK,LIG3,0.228
BCKDK,RAE1,0.254
BCR,FAM53B,0.224
BCR,FAM53C,0.226
BCR,MYCBP,0.23
BEND3,FOXP1,0.202
BEND3,IRF2BP1,0.204
BEND3,MED19,0.206
BIRC2,CACTIN,0.206
BIRC2,CALU,0.222
BIRC2,CTBP1,0.234
BIRC2,CTBP2,0.232
BIRC2,FNTB,0.248
BIRC2,TCF25,0.238
BIRC2,TRIM41,0.21
BMS1,CDC73,0.238
BMS1,HDGFL2,0.234
BMS1,IWS1,0.232
BTRC,NXN,0.244
BUD13,RBM6,0.196
CACNA2D1,FLOT2,0.282
CACNA2D1,PRKAR2A,0.284
CACNA2D1,SH3BGRL2,0.304
CACTIN,DCP1A,0.21
CACTIN,FAM53B,0.212
CACTIN,MOV10,0.258
CACTIN,MRE11,0.23
CACTIN,XPNPEP3,0.244
CADM1,FYN,0.234
CADM1,ITPRID2,0.212
CADM1,MAPRE1,0.24
CADM1,SND1,0.244
CADM1,WDR1,0.276
CALR,CAVIN1,0.246
CALR,CDH2,0.224
CALR,DSG2,0.216
CALR,FMNL2,0.22
CALR,NEFM,0.222
CALR,RAI14,0.222
CALR,TNPO1,0.266
CALR,TWF1,0.25
CALU,DCP2,0.234
CALU,DHRS7B,0.25
CALU,ECHS1,0.25
CALU,FNTB,0.27
CALU,MRE11,0.246
CALU,MRPS9,0.234
CALU,MSI2,0.242
CALU,NXF1,0.22
CALU,RIOK2,0.238
CALU,UPF1,0.258
CALU,XPNPEP3,0.272
CAMK2D,VRK3,0.24
CAMK2G,TP53,0.234
CAMK2G,VRK3,0.238
CAMK2G,ZNF629,0.218
CAND1,CCNL2,0.264
CAND1,LAP3,0.258
CAND1,SS18,0.274
CAP1,DHX30,0.266
CAP1,ECHS1,0.234
CAP1,FANCI,0.284
CAP1,NCKAP1,0.286
CAP1,OCIAD1,0.218
CAP1,SUPT16H,0.23
CAP1,ZCCHC9,0.22
CAPN2,RNH1,0.254
CAPN2,TRIM68,0.256
CARM1,CDKN2AIP,0.232
CARM1,MOV10,0.262
CARNMT1,CBR4,0.274
CARNMT1,PPM1B,0.25
CAVIN1,IQGAP1,0.228
CAVIN1,MAPRE1,0.21
CAVIN1,MYO1E,0.262
CAVIN1,MYO6,0.264
CAVIN1,NEXN,0.198
CBLL1,RNF20,0.202
CCAR2,DDX23,0.226
CCAR2,PRPF3,0.228
CCAR2,PRPF4,0.232
CCDC32,PPM1B,0.272
CCDC32,SLC25A13,0.242
CCDC51,MRPL17,0.216
CCDC51,RPRD2,0.2
CCDC51,VARS2,0.286
CCDC8,TRIM41,0.21
CCDC8,ZC3H18,0.194
CCDC8,ZNF146,0.196
CCDC8,ZNF281,0.194
CCNL1,CCNL2,0.228
CCNL1,HDGFL2,0.22
CCNL1,SIN3A,0.226
CCNL2,SMC1A,0.22
CDC73,CIP2A,0.244
CDC73,CNOT3,0.204
CDC73,MAGED2,0.218
CDC73,NUBPL,0.232
CDC73,RAI14,0.21
CDC73,SLC30A9,0.234
CDC73,SMC3,0.222
CDC73,SMOC1,0.208
CDC73,ZNF281,0.202
CDH2,NEXN,0.224
CDH2,PALS1,0.222
CDH2,RAI14,0.216
CDH2,RUVBL2,0.218
CDH2,SPECC1L,0.216
CDK5RAP1,MICU1,0.254
CDK5RAP1,MRPS23,0.278
CDK5RAP1,PARL,0.26
CDK5RAP1,PPIC,0.27
CDK5RAP1,TARS2,0.25
CDKN2AIP,CRTAP,0.236
CDKN2AIP,GTPBP3,0.238
CDKN2AIP,PRPF3,0.206
CDKN2AIP,RCN1,0.226
CDKN2AIP,SIRT5,0.232
CEP120,HDAC2,0.228
CEP120,LEMD2,0.206
CEP131,INTS14,0.222
CEP131,RBM15,0.202
CEP131,SPATA5,0.214
CEP164,GPS2,0.196
CEP170,FLOT2,0.2
CGN,DBN1,0.198
CGN,TWF1,0.198
CHAMP1,ZBTB33,0.198
CIP2A,CKAP4,0.238
CIP2A,FKBP5,0.244
CIP2A,IDH3A,0.246
CIP2A,IDH3G,0.246
CIP2A,METAP1D,0.25
CIP2A,METTL15,0.246
CIP2A,NDUFAF3,0.258
CIP2A,NDUFS2,0.242
CIP2A,STIM1,0.238
CKAP2,CRTC3,0.198
CKAP4,ESYT2,0.224
CKAP4,MOGS,0.272
CKAP4,MTR,0.242
CKAP4,NUP155,0.264
CKAP4,RAB18,0.214
CKAP4,RAE1,0.24
CKAP4,SLC39A11,0.22
CKAP4,TDRKH,0.222
CLCC1,IMMT,0.21
CLCC1,NARS2,0.254
CLCC1,TMLHE,0.242
CLPB,COQ8A,0.23
CLPB,HSD17B4,0.22
CLPB,MRPL45,0.24
CLPB,NDUFA10,0.232
CLPB,NRP1,0.226
CLPB,OPA1,0.228
CLPB,PDSS1,0.23
CLPB,PISD,0.234
CLPB,USO1,0.242
CLPB,WARS2,0.23
CLPB,WDR11,0.276
CLPX,RAD50,0.22
CLPX,XPC,0.224
CLTA,P4HA1,0.278
CLTA,REPS1,0.198
CLTB,LONP1,0.238
CLTB,QRICH1,0.23
CLTC,GPS2,0.222
CLTC,SGF29,0.22
CLTC,SH3BGRL2,0.222
CLUH,INA,0.284
CNOT10,SNX17,0.262
CNOT11,DYRK1A,0.228
CNOT11,MCM10,0.216
CNOT2,TRAF3,0.208
CNOT2,ZNF281,0.196
CNOT3,MAP7D3,0.198
CNOT9,TRAF3,0.232
CNP,RDH14,0.26
CNP,TARS2,0.26
COLGALT1,CPSF3,0.252
COLGALT1,FARS2,0.264
COLGALT1,IRAK1,0.25
COLGALT1,MRPL17,0.292
COLGALT1,MRPL4,0.274
COLGALT1,PLBD2,0.256
COLGALT1,PLOD3,0.264
COLGALT1,RAE1,0.266
COLGALT1,SIL1,0.262
COMTD1,MTR,0.252
COMTD1,NME3,0.264
COMTD1,NUP43,0.266
COMTD1,TDRKH,0.238
COP1,DARS2,0.254
COPS2,RBM6,0.22
COPS2,WDR48,0.268
COPS4,KPNA6,0.256
COPS4,MAPRE1,0.262
COQ10B,COQ8A,0.248
COQ10B,PPIC,0.25
COQ10B,RCC1L,0.276
COQ10B,VAMP3,0.256
COQ10B,WARS2,0.264
COQ8A,LONP1,0.226
COQ8A,NME6,0.25
COQ8A,NUBPL,0.242
COQ8A,YME1L1,0.226
COQ8B,DARS2,0.264
COQ8B,LONP1,0.228
COQ8B,NDUFAF4,0.266
COQ8B,OCRL,0.226
COQ8B,STIM1,0.236
COQ8B,TRMT61B,0.238
COQ8B,ZYX,0.238
CORO1B,CTNNA1,0.244
CORO1B,DNAJC21,0.244
CORO1B,PELP1,0.24
CORO1B,SND1,0.236
CORO1C,CTNNA1,0.244
CPSF2,CUL2,0.248
CPSF2,LONP1,0.232
CPSF2,PLBD2,0.25
CPSF3,EFTUD2,0.266
CPSF3,LONP1,0.228
CPSF3,NCBP1,0.268
CPSF3,PLOD3,0.264
CPSF4,KEAP1,0.272
CPSF4,SART1,0.19
CPSF4,ZC3H18,0.19
CPVL,RNH1,0.262
CRTAP,RBL1,0.248
CRTAP,TBL1XR1,0.248
CRTC2,RFX1,0.22
CRTC2,ZNF410,0.2
CRTC3,RBM27,0.196
CSNK2A2,DARS2,0.278
CSNK2A2,DHX30,0.27
CSNK2A2,KPNA1,0.262
CSNK2A2,KPNA5,0.262
CSNK2A2,SMC3,0.222
CTBP1,DHX30,0.264
CTBP1,RBL1,0.244
CTBP2,MOV10,0.272
CTBP2,RBL1,0.244
CTNNA1,IMMT,0.236
CTNNA1,P4HB,0.242
CTNNA1,PGD,0.24
CTNNA1,RUVBL2,0.244
CTNNA1,TPM1,0.258
CTNNB1,FLOT2,0.25
CTNNB1,FMNL2,0.232
CTNNB1,MYO1B,0.238
CTR9,EEFSEC,0.238
CTR9,NUP50,0.248
CTSA,RANBP10,0.248
CUL2,EIF3G,0.278
CUL2,LSM2,0.296
CUL2,PLOD3,0.26
CUX1,LOC100421372,0.198
CUX1,MED19,0.2
CYB5R3,DNAJB1,0.248
CYB5R3,GNAI1,0.258
CYB5R3,PYGL,0.296
CYB5R3,RAI14,0.218
CYB5R3,WRNIP1,0.226
DARS2,FARS2,0.27
DARS2,FASTKD2,0.254
DARS2,METTL15,0.274
DARS2,MRPL46,0.284
DARS2,MRPS23,0.296
DARS2,NRP1,0.246
DARS2,OCRL,0.248
DARS2,PAF1,0.266
DARS2,SLC39A10,0.248
DARS2,STK3,0.268
DARS2,TIMM44,0.27
DARS2,VARS2,0.27
DARS2,WDR61,0.282
DBN1,HSD17B4,0.22
DBN1,ITPRID2,0.2
DBN1,MAPRE1,0.204
DBN1,OAT,0.242
DBN1,PPP1R9A,0.2
DBN1,PPP1R9B,0.2
DBN1,SPECC1,0.202
DCAF11,EIF3G,0.262
DCAF11,TARS2,0.254
DCAF11,TMEM177,0.262
DCAF7,FNTA,0.252
DCAF7,PRKAR1A,0.256
DCAF7,YPEL5,0.298
DCAF7,YWHAH,0.268
DCP1A,MOV10,0.264
DCP1A,RNF216,0.2
DCP1A,SKIV2L,0.262
DCP1A,TSC1,0.222
DCP2,EDC3,0.228
DCP2,EVI5L,0.224
DCP2,LRCH1,0.218
DCP2,LSM1,0.222
DCP2,MYCBP,0.226
DCP2,TSC1,0.224
DDA1,LRCH1,0.226
DDA1,LZTS2,0.194
DDA1,NXF1,0.22
DDI2,FKBP5,0.254
DDX23,EXOC1,0.228
DDX23,LSM6,0.24
DDX23,PRPF4,0.23
DDX23,ZNRD2,0.234
DHCR24,DNAJC16,0.246
DHX30,OLA1,0.268
DHX30,PUM3,0.256
DLG1,LMNB2,0.216
DLG1,MYO1D,0.24
DLG1,PFDN1,0.226
DLG1,PFKP,0.256
DLG1,PPP1R9B,0.214
DLG1,PYGL,0.262
DNAAF5,NUP107,0.248
DNAAF5,TNPO3,0.256
DNAJB1,MYO6,0.272
DNAJB1,SUPT16H,0.234
DNAJC16,MTMR1,0.246
DNAJC21,EPB41L2,0.22
DNAJC21,LACTB,0.244
DNAJC21,MYO6,0.264
DNAJC21,OAT,0.248
DNAJC21,PALM2AKAP2,0.218
DNM2,IRF2BP1,0.218
DNM2,XPNPEP3,0.242
DNTTIP1,MRE11,0.244
DPH6,PPM1G,0.246
DSC3,ERLEC1,0.224
DSG2,TMOD2,0.222
DSG2,TWF1,0.224
DYNC1I2,PAFAH1B1,0.24
DYRK1A,PRDX4,0.238
ECD,TNPO1,0.256
ECHS1,SMC1A,0.222
ECHS1,STAG2,0.268
ECI2,LONP1,0.232
ECI2,MRPS18A,0.254
ECI2,NIPSNAP2,0.244
ECI2,VARS2,0.286
EDC3,FAM53B,0.222
EDC3,LRCH3,0.216
EDC3,TROAP,0.216
EEFSEC,YWHAG,0.27
EFTUD2,EIF4E2,0.292
EFTUD2,LSM6,0.308
EFTUD2,PLOD3,0.26
EFTUD2,SNRNP70,0.276
EFTUD2,SPIN1,0.292
EIF2B4,HEATR3,0.26
EIF2B4,NUP133,0.234
EIF3A,ZNRD2,0.234
EIF3F,TRMU,0.262
EIF3G,ERCC3,0.268
EIF3G,ERMP1,0.292
EIF3G,HSPA6,0.27
EIF3G,KPNA3,0.266
EIF3G,NUP50,0.206
EIF3G,RDH13,0.252
EIF3M,SART3,0.242
EIF4E2,LONP1,0.238
EIF4ENIF1,MATR3,0.198
EIF4ENIF1,MRPS18A,0.198
EIF4ENIF1,NDUFAF4,0.19
EIF4ENIF1,STIM1,0.202
EIF4ENIF1,ZNF629,0.194
ELF1,VGLL4,0.2
ELP1,SGPL1,0.26
EMC1,PIGK,0.286
EPB41L2,LACTB,0.228
EPS15,TMED1,0.198
EPS15L1,ERMP1,0.26
EPS15L1,MOGS,0.26
EPS15L1,NME3,0.206
EPS15L1,SRPRA,0.218
EPS15L1,TDRKH,0.218
ERCC3,GTF2H1,0.254
ERCC3,JPH1,0.25
ERCC3,LIG3,0.24
ERCC3,NAP1L4,0.26
ERCC3,WDR61,0.258
ERLEC1,P3H1,0.24
ERLEC1,SLC39A11,0.228
ESYT2,NME3,0.232
ESYT2,SRPRA,0.224
ESYT2,TMED1,0.234
EVI5L,PRKAR1A,0.226
EXOC1,STXBP2,0.242
EXOSC2,IDE,0.298
EXOSC2,NXF1,0.222
EXOSC2,SENP3,0.232
EXOSC2,SMC3,0.222
EXOSC2,TTLL12,0.284
FAM117A,PJA1,0.196
FAM117A,TRIM41,0.21
FAM117B,LRCH3,0.212
FAM117B,PAIP2,0.182
FAM117B,PRKAR1A,0.208
FAM117B,TRAF2,0.208
FAM117B,TROAP,0.192
FAM117B,ZC3H18,0.194
FAM162A,LAMP1,0.228
FAM53B,MOV10,0.272
FAM53B,PJA1,0.196
FAM53B,TRAF7,0.226
FAM53C,FNTA,0.248
FAM53C,LRCH2,0.216
FAM53C,MYCBP,0.192
FANCD2,SSBP4,0.276
FANCI,OCIAD1,0.298
FANCI,TIAL1,0.286
FARP2,MRPS9,0.236
FARS2,FECH,0.25
FARS2,IDH3G,0.252
FARS2,MICU2,0.25
FARS2,PRDX4,0.26
FASTKD2,FUCA2,0.252
FASTKD2,LONP1,0.232
FASTKD2,METAP1D,0.262
FASTKD2,MRPS18A,0.272
FASTKD2,NADK2,0.254
FASTKD2,SMOC1,0.256
FASTKD2,TIMM44,0.256
FBXO3,HLTF,0.23
FBXO3,NFS1,0.252
FBXO3,PYCR3,0.264
FBXO3,ZNRD2,0.274
FBXO3,ZYG11B,0.268
FBXO45,HIRA,0.232
FBXO45,RFX1,0.226
FECH,LONP1,0.226
FECH,SARS2,0.26
FECH,TRMT61B,0.242
FHL3,NXN,0.246
FHL3,OGT,0.288
FKBP5,LMX1B,0.254
FKBP5,OMA1,0.246
FLII,LACTB,0.236
FLII,OLA1,0.238
FLOT1,MYO1E,0.256
FLOT1,MYO6,0.272
FLOT1,PALS1,0.234
FLOT1,PPP1R12A,0.208
FLOT1,WDR1,0.276
FLOT2,FMNL2,0.228
FLOT2,MTREX,0.266
FLOT2,MYO1E,0.254
FLOT2,NEXN,0.204
FLOT2,PAWR,0.21
FLOT2,PELP1,0.242
FLOT2,TMOD2,0.21
FLOT2,TNPO1,0.266
FMNL2,HINT1,0.226
FMNL2,IMMT,0.218
FMNL2,MAPRE1,0.234
FMNL2,TMOD2,0.228
FNTA,WDR61,0.25
FNTA,YTHDC2,0.266
FOXK1,SAP130,0.196
FTH1,MATR3,0.208
FTH1,VRK3,0.264
FUCA2,MRPS23,0.292
FUCA2,NSUN4,0.264
FUNDC2,JPH1,0.246
FYN,LRCH2,0.226
FYN,MYO6,0.26
GABARAPL2,PYGL,0.314
GALK1,GPX8,0.286
GALK1,RO60,0.264
GALK1,SRPRA,0.244
GALK1,TMEM177,0.274
GAN,INA,0.264
GATAD2B,HDAC1,0.242
GATAD2B,TIMM9,0.2
GGA3,PPP2R5D,0.236
GIGYF1,LEMD2,0.206
GIGYF2,GTSE1,0.196
GLB1,MAEA,0.278
GLB1,OAT,0.274
GLB1,RUVBL2,0.272
GLB1,SS18,0.276
GLB1,ZNF629,0.25
GLCCI1,RNF216,0.206
GLCCI1,ZC3H18,0.194
GLMN,XPO1,0.264
GNAI1,IMMT,0.228
GNAI1,MYO1B,0.25
GNAI1,MYO6,0.27
GPS2,LMO7,0.202
GPS2,PAF1,0.216
GPS2,SIN3A,0.234
GPX8,ORC4,0.24
GPX8,TRABD,0.254
GSN,PFKP,0.262
GSN,SND1,0.228
GTF2H1,SMC1A,0.22
GTF2H1,SMC3,0.22
GTF2H4,SUPT16H,0.23
GTF2H5,RAD21,0.196
GTPBP3,PPM1G,0.236
GTPBP3,RCN1,0.252
GTPBP3,THUMPD3,0.244
GTSE1,LONP1,0.226
GTSE1,REPS1,0.198
GXYLT1,LONP1,0.23
GXYLT1,MRPL40,0.264
GXYLT1,MRPS9,0.248
GXYLT1,NUBPL,0.254
GXYLT1,TMLHE,0.248
GXYLT1,WARS2,0.246
HDAC1,NUP62,0.242
HDAC1,PHF23,0.252
HDAC2,NAP1L4,0.254
HDAC2,TBL1XR1,0.244
HDAC2,TTC30A,0.262
HDGFL2,MAPRE1,0.204
HDGFL2,PRDM10,0.202
HDGFL2,RBM15,0.204
HEATR3,PPP2R2D,0.264
HEATR3,SAAL1,0.26
HEATR3,TBC1D15,0.25
HEXIM2,PYCR3,0.252
HEXIM2,TCF12,0.194
HEXIM2,TCF3,0.194
HINT1,IQGAP1,0.23
HINT1,PELP1,0.252
HINT1,RHOG,0.272
HINT1,SPECC1L,0.202
HIP1,IRF2BP1,0.214
HIRA,IRF2BP1,0.226
HIRA,MRPS9,0.228
HLA-C,IDH3A,0.254
HLA-C,MRPL49,0.26
HLA-C,PRCP,0.266
HLA-C,SIL1,0.238
HLA-C,TMLHE,0.256
HLTF,PNKP,0.23
HLTF,RFC4,0.234
HM13,REEP5,0.262
HM13,XPO1,0.282
HM13,XPO7,0.284
HOMEZ,PRDM10,0.204
HSD17B4,IFT27,0.234
HSD17B4,IRF2BP1,0.222
HSD17B4,LACTB,0.236
HSD17B4,MPRIP,0.214
HSD17B4,MTA2,0.22
HSD17B4,MYO1D,0.242
HSD17B4,NUDT12,0.226
HSD17B4,OCLN,0.222
HSD17B4,OCRL,0.226
HSD17B4,P4HB,0.222
HSD17B4,PALM2AKAP2,0.228
HSD17B4,PPP1R9A,0.214
HSD17B4,RAI14,0.216
HSD17B4,RBM12B,0.216
HSD17B4,SPECC1,0.214
HSD17B4,TRIM41,0.22
HSD17B4,TTC30A,0.252
HSD17B4,WDR1,0.256
HSPA6,NME3,0.28
HSPA6,ORC4,0.258
HSPA6,RO60,0.252
HSPA6,TARS2,0.252
HYPK,IDH3A,0.294
ID1,PNKP,0.27
ID1,TOP2A,0.272
ID1,TP53,0.24
ID2,PPP1R9B,0.2
ID3,PPP1R9B,0.2
ID4,TOP2A,0.272
IDH3A,METTL15,0.254
IDH3A,PISD,0.252
IDH3A,PPP2R5D,0.256
